OID,Latitude (N),Longitude (E),Blended LRO/LOLA and SELENE/Kaguya DEM
559,25.993164062500004,116.77050781250003,-84.5
560,25.993164062499996,116.7724609375,-87.5
561,25.993164062499996,116.7744140625,-95.0
562,25.993164062499996,116.7763671875,-95.0
563,25.993164062499996,116.77832031250003,-102.5
564,25.993164062499996,116.7802734375,-108.0
565,25.993164062499996,116.78222656249997,-119.5
566,25.993164062499996,116.78417968750003,-128.5
567,25.993164062499996,116.78613281250003,-135.5
568,25.993164062499996,116.78808593749997,-143.0
569,25.993164062499996,116.7900390625,-146.5
570,25.993164062499996,116.7919921875,-152.5
571,25.993164062499996,116.7939453125,-155.5
572,25.993164062499996,116.79589843749997,-159.5
573,25.993164062499996,116.7978515625,-163.0
574,25.993164062499996,116.7998046875,-164.5
575,25.993164062499996,116.8017578125,-165.5
576,25.993164062499996,116.80371093750003,-168.0
577,25.993164062499996,116.80566406250003,-172.0
578,25.993164062499996,116.80761718749997,-174.0
579,25.993164062499996,116.8095703125,-176.5
580,25.993164062499996,116.8115234375,-179.0
581,25.993164062499996,116.8134765625,-181.5
582,25.993164062500004,116.81542968749997,-180.5
583,25.993164062499996,116.8173828125,-181.5
584,25.993164062499996,116.8193359375,-185.5
585,25.993164062500004,116.8212890625,-187.5
586,25.993164062499996,116.82324218750003,-188.5
587,25.993164062499996,116.8251953125,-184.0
588,25.993164062499996,116.82714843749997,-184.0
589,25.993164062499996,116.82910156249997,-185.0
590,25.993164062499996,116.83105468750003,-185.5
591,25.993164062499996,116.83300781250006,-184.0
592,25.993164062499996,116.83496093749997,-181.5
593,25.993164062499996,116.8369140625,-184.0
594,25.993164062499996,116.8388671875,-185.0
595,25.993164062499996,116.84082031249997,-187.0
596,25.993164062499996,116.8427734375,-180.5
597,25.993164062499996,116.8447265625,-177.0
598,25.993164062499996,116.84667968750003,-178.5
599,25.993164062499996,116.84863281249994,-177.5
600,25.993164062499996,116.85058593749997,-174.0
601,25.993164062499996,116.85253906250006,-169.0
602,25.993164062499996,116.85449218749997,-164.5
603,25.993164062499996,116.8564453125,-160.0
604,25.993164062499996,116.85839843749997,-153.0
